location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
OR,70.38938738830063,28.902770806237548,58.94%,90.57%,81.36%,35859,5302684
PA,54.23336062101979,24.13012275500858,55.51%,86.01%,76.77%,110161,15969030
PR,46.352362506593046,16.333461980315292,64.76%,90.85%,81.42%,7036,1005696
RI,47.11663290999983,14.216298108553099,69.83%,91.09%,82.46%,9832,1357458
SC,47.93795143825826,24.384501587609748,49.13%,72.54%,64.07%,41800,5746903
SD,69.48150711515778,38.79239364024807,44.17%,77.94%,66.33%,5955,588474
TN,56.632362214737064,27.35662695076877,51.69%,79.67%,69.38%,70695,9469826
TX,73.4140880888352,34.480681628997324,53.03%,77.93%,69.63%,393531,56842472
UT,69.02357046623408,28.48983127376246,58.72%,84.14%,81.20%,23322,2647078
VA,57.52506487103094,25.47819393902168,55.71%,84.38%,77.52%,82116,12235941
VI,135.25842940267592,49.53287131663105,63.38%,96.28%,94.19%,666,75455
VT,57.42804904569758,26.375365780796248,54.07%,86.93%,79.94%,3819,458258
WA,75.36793745285942,24.01129891295809,68.14%,93.59%,89.85%,65868,8653931
WI,56.297098501027634,23.930443339962267,57.49%,87.30%,80.15%,34817,4292570
WV,45.97204843281128,25.010660062509533,45.60%,67.48%,62.39%,13571,1486158
WY,71.40497873369442,45.57017157140295,36.18%,64.11%,63.74%,3029,357896
United States,65.58009974912021,29.531047545190876,54.97%,84.95%,76.17%,3898305,517352688
New York City,86.2661358824445,33.34279416055498,61.35%,96.06%,87.13%,164677,22409936
Los Angeles,102.85510426196959,45.2642183268989,55.99%,92.90%,81.86%,124712,18360614
Chicago,63.701224473855255,22.523776245975288,64.64%,95.51%,85.55%,61186,8966527
Houston,53.81661637156355,26.43946082927156,50.87%,83.67%,72.41%,71734,12857274
Phoenix,60.365675233590316,21.436312101392733,64.49%,88.72%,82.00%,22593,3304191
Philadelphia,54.99282335109518,23.011106404335603,58.16%,91.00%,82.57%,33007,6030803
San Antonio,45.35960223105759,21.346802259468813,52.94%,87.48%,77.30%,33079,4987524
San Diego,79.08687154001042,31.44085701974753,60.25%,93.85%,84.09%,30689,3682268
Dallas,64.14009310459039,27.7503325677312,56.73%,85.50%,76.83%,28980,4991618
San Jose,60.01291937036622,17.639792599435662,70.61%,95.08%,93.11%,13573,1792839
Austin,72.52792414520944,28.93565791381821,60.10%,91.71%,84.40%,29418,3988793
Jacksonville,48.18461770499283,30.948214918825606,35.77%,51.42%,78.49%,655,69266
Fort Worth,51.659532381839504,25.29448015881218,51.04%,81.21%,68.09%,14150,1996865
Columbus,44.70339244221704,17.742116206851247,60.31%,87.15%,80.56%,20048,3250751
San Francisco,113.41549102002216,35.70109409004942,68.52%,98.78%,95.77%,32656,3586721
Charlotte,57.49101891604194,23.724288252918964,58.73%,84.73%,78.85%,17888,3075812
Indianapolis,46.606163127713906,18.61056459436287,60.07%,89.67%,79.92%,16121,2390302
Seattle,98.71402097647149,24.55200934201604,75.13%,98.95%,97.11%,21021,2780432
Denver,81.17646073207516,30.51860742102692,62.40%,92.84%,85.36%,14839,1951055
Washington,80.0521215447212,26.3475381905399,67.09%,97.44%,90.46%,40171,5579767
Boston,76.38920956615956,27.301140922930134,64.26%,95.88%,85.45%,21693,2591449
El Paso,51.10696334412348,23.19326645207029,54.62%,96.39%,82.38%,9254,1311676
Detroit,53.82840924964362,30.53559134388741,43.27%,84.16%,64.54%,9573,1720407
Nashville,72.61861454011729,30.70656284834972,57.72%,88.40%,82.27%,19208,2837909
Portland,78.62171741339951,27.569276501296997,64.93%,96.44%,90.34%,15772,2692280
Memphis,48.29612530871532,23.614156428678125,51.11%,85.98%,69.86%,10654,1843640
Oklahoma City,46.10680623601906,20.9605701211818,54.54%,79.14%,67.47%,8762,1318402
Las Vegas,80.67160491484721,43.35265714242289,46.26%,82.16%,69.73%,16039,2187623
Louisville,45.92065702566782,17.145613817027918,62.66%,84.75%,70.61%,7007,993743
Baltimore,45.086538214811576,14.912995372398353,66.92%,87.71%,83.80%,12345,2378975
Milwaukee,52.917554812723154,21.776105666601893,58.85%,91.03%,82.29%,7680,1156908
Albuquerque,51.30646694208219,19.034299554875396,62.90%,91.53%,67.51%,6380,846652
Tucson,53.832933906365135,25.20308197519115,53.18%,88.24%,73.60%,7484,970493
Fresno,37.413097303572656,15.069544035507867,59.72%,85.62%,79.65%,7544,1090503
Mesa,48.74176170444105,31.00635103171485,36.39%,85.41%,69.71%,5077,690663
Sacramento,62.2228445634215,28.845678043834877,53.64%,86.47%,83.49%,8813,1245978
Atlanta,87.95378938199805,40.87665955206491,53.52%,78.98%,72.17%,30707,4947239
Kansas City,62.35327452449078,23.72262365236731,61.95%,91.12%,86.80%,9449,1258467
Colorado Springs,64.7354530235367,26.732520958639633,58.70%,92.78%,85.70%,4742,618647
Miami,114.18865307746542,58.31642576443709,48.93%,89.31%,73.71%,21085,1719859
Raleigh,51.99618777932748,22.117835539857612,57.46%,87.96%,77.21%,10467,1386762
Omaha,49.72542022856312,20.091533381925558,59.60%,97.44%,83.46%,8298,926896
Long Beach,55.20890850880146,24.000810201031204,56.53%,86.63%,76.81%,9775,1515624
Virginia Beach,49.232833159892685,27.042212278811746,45.07%,90.85%,82.89%,6316,953266
Oakland,87.33121653135107,22.29747815190469,74.47%,95.37%,93.16%,9516,1577411
Minneapolis,69.93352725973354,22.89330418739647,67.26%,95.60%,88.24%,11075,1462591
Tulsa,49.074852110759494,23.8255040534266,51.45%,88.14%,72.45%,4758,626030
Arlington,56.00347302863042,20.056230667200673,64.19%,90.78%,86.71%,13412,1907754
Tampa,70.65239543153857,28.697342006453294,59.38%,87.27%,76.45%,9796,1256850
New Orleans,55.705790863937146,23.77771361452065,57.32%,87.92%,76.11%,16564,3317563
Wichita,38.9875608516088,16.810358719149793,56.88%,87.38%,60.58%,5311,587001
Cleveland,53.0177753763601,23.716526020263025,55.27%,79.57%,69.38%,9145,1606078
Bakersfield,38.98276349896625,20.25897734123276,48.03%,79.06%,87.17%,5257,744264
Aurora,41.98352754361231,14.95360111655166,64.38%,93.46%,85.49%,683,53048
Anaheim,66.01189348294336,26.48371778251534,59.88%,84.01%,73.91%,8430,815954
Honolulu,140.46111805616698,58.59360216873333,58.28%,95.06%,78.49%,11447,901040
Santa Ana,46.029899591929684,21.397490968003687,53.51%,79.39%,77.23%,2770,339622
Riverside,45.34744203361122,22.389795620718466,50.63%,78.54%,79.91%,5744,700165
Corpus Christi,48.962899247932995,31.00892659290461,36.67%,78.28%,75.44%,4960,613801
Lexington,42.91363831519092,17.848232777839613,58.41%,82.21%,78.71%,1176,130253
Stockton,41.024874136868775,21.80262517860165,46.86%,72.39%,70.49%,3294,493371
Henderson,72.60977166472955,26.633952508911484,63.32%,88.08%,81.95%,4970,864237
St Paul,54.42141920502257,17.1618188404944,68.46%,95.25%,85.86%,4184,570074
St Louis,55.28743058515104,20.118300386405238,63.61%,94.36%,81.31%,6863,984607
Cincinnati,55.467942640101874,15.86107428817106,71.40%,88.81%,83.01%,6653,816056
Pittsburgh,53.78432582792178,20.748130024125093,61.42%,93.83%,78.92%,8763,1292351
Greensboro,36.55059560599667,17.573771622690057,51.92%,78.25%,69.97%,6672,1492948
Anchorage,111.69722560002904,30.978168705812937,72.27%,99.29%,57.29%,3310,516699
Plano,71.00420253134108,34.359161132999866,51.61%,90.27%,84.58%,4127,632134
Lincoln,53.85014763613372,25.126190288892012,53.34%,88.92%,64.57%,5574,499163
Orlando,91.4140037440598,40.87792019732407,55.28%,79.42%,74.45%,13039,1552584
Irvine,77.98412550863534,26.682426126802675,65.78%,91.70%,90.05%,4384,520725
Newark,54.16593371855259,19.280345237653933,64.41%,85.30%,76.79%,5884,894003
Toledo,39.17898431753546,21.305361690881462,45.62%,85.27%,68.18%,3610,542737
Durham,49.02019821202055,20.722981669674233,57.73%,88.63%,86.15%,5536,1064773
Chula Vista,56.21240127855371,24.45306368445485,56.50%,88.91%,60.63%,2797,349882
Fort Wayne,42.401807082514964,19.755712000467152,53.41%,95.52%,87.48%,3224,359011
Jersey City,58.61082171616177,16.084871560892456,72.56%,96.33%,95.53%,4360,624954
St Petersburg,65.43061146234658,23.35406742405053,64.31%,92.56%,87.84%,3828,641235
Laredo,38.15427938395245,24.177621500077677,36.63%,86.04%,50.83%,2123,249192
Madison,44.34032977313488,11.043578195335355,75.09%,88.81%,82.00%,900,75225
Chandler,58.58219249545972,23.189153971049162,60.42%,88.62%,76.26%,3296,396197
Buffalo,43.13686355327243,24.354210354441705,43.54%,87.60%,73.31%,4939,808327
Lubbock,52.92495933347216,34.07950229098064,35.61%,67.07%,66.98%,5822,642634
Scottsdale,87.99888685413957,36.217928138751155,58.84%,89.07%,80.58%,4580,505777
Reno,57.35119881815032,21.623660928058385,62.30%,91.36%,80.58%,4671,562289
Glendale,54.35098792049287,16.196837388168788,70.20%,88.87%,60.59%,241,46269
Gilbert,63.75157067987198,30.845078630008764,51.62%,91.49%,79.26%,3734,369182
Winston-Salem,38.00744321098581,24.860713502088426,34.59%,83.45%,79.24%,3471,520556
North Las Vegas,47.10701532206414,25.528349694045428,45.81%,82.45%,70.90%,2726,413057
Norfolk,45.69127590442831,23.128866979514715,49.38%,81.87%,73.13%,5078,1101374
Chesapeake,42.16689984652348,19.26456135463247,54.31%,78.43%,70.75%,2132,385428
Garland,36.06478280119492,21.865803191926275,39.37%,75.73%,64.89%,3139,450015
Irving,56.17356093757976,23.78939979061853,57.65%,83.87%,65.90%,3835,579768
Hialeah,33.6622484046403,17.195527660518,48.92%,86.01%,72.55%,1766,208268
Fremont,78.64473542865281,29.460481111611482,62.54%,95.13%,91.84%,2775,366376
Boise,64.74933073806157,26.576596891223787,58.95%,91.88%,77.80%,3077,390411
Richmond,53.395156997199685,25.02865508855553,53.13%,85.31%,81.10%,8394,1312405
Baton Rouge,42.14307637799683,23.43605010865191,44.39%,67.25%,64.98%,6837,1787754
Spokane,60.43388881108807,27.67071033234763,54.21%,88.74%,90.80%,2208,279814
